,sum_sq,df,F,PR(>F)
C(additional_info),0.9773189587000993,15.0,989.0080262473548,0.0
C(embedding_model),19.723484851870666,5.0,59878.1533410958,0.0
C(dr_method),18.55230592871393,2.0,140806.48368854207,0.0
C(dimension_size),0.720427189266998,2.0,5467.828078303891,0.0
C(additional_info):C(embedding_model),3.5043026809066227,75.0,709.2430668543461,0.0
C(additional_info):C(dr_method),0.2551013498071115,30.0,129.076224409552,0.0
C(embedding_model):C(dr_method),2.2591464961033574,10.0,3429.2499862377554,0.0
C(additional_info):C(dimension_size),0.006075869621915253,30.0,3.0742695457883866,5.372098399119357e-08
C(embedding_model):C(dimension_size),0.16618520277006668,10.0,252.25925157803354,0.0
C(dr_method):C(dimension_size),1.3052359917285972,4.0,4953.176469955156,0.0
C(additional_info):C(embedding_model):C(dr_method),1.238510889822525,150.0,125.3323901808297,0.0
C(additional_info):C(embedding_model):C(dimension_size),0.019877316118827263,150.0,2.011505558832467,6.006072482658672e-11
C(additional_info):C(dr_method):C(dimension_size),0.018270785308640687,60.0,4.622327530646229,5.76214142899309e-27
C(embedding_model):C(dr_method):C(dimension_size),0.3042537706790114,20.0,230.91956203668224,0.0
C(additional_info):C(embedding_model):C(dr_method):C(dimension_size),0.05474250783950544,300.0,2.7698623437219787,2.2747924908219362e-38
Residual,0.11383845333333317,1728.0,,
