group1,group2,meandiff,p-adj,lower,upper,reject
PCA_10,PCA_5,-0.0457,0.0121,-0.0857,-0.0056,True
PCA_10,PCA_50,0.0691,0.0,0.029,0.1091,True
PCA_10,PaCMAP_10,-0.1764,0.0,-0.2164,-0.1364,True
PCA_10,PaCMAP_5,-0.1766,0.0,-0.2167,-0.1366,True
PCA_10,PaCMAP_50,-0.1766,0.0,-0.2167,-0.1366,True
PCA_10,UMAP_10,-0.1877,0.0,-0.2277,-0.1476,True
PCA_10,UMAP_5,-0.1892,0.0,-0.2292,-0.1491,True
PCA_10,UMAP_50,-0.1877,0.0,-0.2277,-0.1476,True
PCA_5,PCA_50,0.1148,0.0,0.0747,0.1548,True
PCA_5,PaCMAP_10,-0.1307,0.0,-0.1708,-0.0907,True
PCA_5,PaCMAP_5,-0.1309,0.0,-0.171,-0.0909,True
PCA_5,PaCMAP_50,-0.131,0.0,-0.171,-0.0909,True
PCA_5,UMAP_10,-0.142,0.0,-0.182,-0.102,True
PCA_5,UMAP_5,-0.1435,0.0,-0.1835,-0.1034,True
PCA_5,UMAP_50,-0.142,0.0,-0.182,-0.1019,True
PCA_50,PaCMAP_10,-0.2455,0.0,-0.2855,-0.2054,True
PCA_50,PaCMAP_5,-0.2457,0.0,-0.2857,-0.2057,True
PCA_50,PaCMAP_50,-0.2457,0.0,-0.2858,-0.2057,True
PCA_50,UMAP_10,-0.2567,0.0,-0.2968,-0.2167,True
PCA_50,UMAP_5,-0.2582,0.0,-0.2983,-0.2182,True
PCA_50,UMAP_50,-0.2567,0.0,-0.2968,-0.2167,True
PaCMAP_10,PaCMAP_5,-0.0002,1.0,-0.0403,0.0398,False
PaCMAP_10,PaCMAP_50,-0.0002,1.0,-0.0403,0.0398,False
PaCMAP_10,UMAP_10,-0.0113,0.9943,-0.0513,0.0288,False
PaCMAP_10,UMAP_5,-0.0128,0.987,-0.0528,0.0273,False
PaCMAP_10,UMAP_50,-0.0113,0.9943,-0.0513,0.0288,False
PaCMAP_5,PaCMAP_50,-0.0,1.0,-0.0401,0.04,False
PaCMAP_5,UMAP_10,-0.011,0.995,-0.0511,0.029,False
PaCMAP_5,UMAP_5,-0.0125,0.9884,-0.0526,0.0275,False
PaCMAP_5,UMAP_50,-0.011,0.9951,-0.0511,0.029,False
PaCMAP_50,UMAP_10,-0.011,0.9951,-0.0511,0.029,False
PaCMAP_50,UMAP_5,-0.0125,0.9885,-0.0526,0.0275,False
PaCMAP_50,UMAP_50,-0.011,0.9951,-0.0511,0.029,False
UMAP_10,UMAP_5,-0.0015,1.0,-0.0415,0.0386,False
UMAP_10,UMAP_50,0.0,1.0,-0.04,0.0401,False
UMAP_5,UMAP_50,0.0015,1.0,-0.0385,0.0415,False
