group1,group2,meandiff,p-adj,lower,upper,reject
allenai/longformer-base-4096_PCA,allenai/longformer-base-4096_PaCMAP,-0.0776,0.0,-0.0972,-0.0579,True
allenai/longformer-base-4096_PCA,allenai/longformer-base-4096_UMAP,-0.0733,0.0,-0.093,-0.0537,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_PCA,-0.0815,0.0,-0.1011,-0.0618,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_PaCMAP,-0.3073,0.0,-0.3269,-0.2876,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_UMAP,-0.3046,0.0,-0.3242,-0.2849,True
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_PCA,-0.0229,0.0062,-0.0426,-0.0033,True
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_PaCMAP,-0.1561,0.0,-0.1758,-0.1365,True
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_UMAP,-0.2514,0.0,-0.2711,-0.2318,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_PCA,-0.1924,0.0,-0.2121,-0.1728,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_PaCMAP,-0.3648,0.0,-0.3845,-0.3452,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_UMAP,-0.349,0.0,-0.3687,-0.3294,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_PCA,-0.2427,0.0,-0.2623,-0.223,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_PaCMAP,-0.2645,0.0,-0.2842,-0.2448,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_UMAP,-0.2552,0.0,-0.2748,-0.2355,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.155,0.0,-0.1747,-0.1354,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.6303,0.0,-0.65,-0.6107,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.6367,0.0,-0.6564,-0.6171,True
allenai/longformer-base-4096_PaCMAP,allenai/longformer-base-4096_UMAP,0.0042,1.0,-0.0154,0.0239,False
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_PCA,-0.0039,1.0,-0.0235,0.0158,False
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_PaCMAP,-0.2297,0.0,-0.2494,-0.2101,True
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_UMAP,-0.227,0.0,-0.2467,-0.2074,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_PCA,0.0547,0.0,0.035,0.0743,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_PaCMAP,-0.0786,0.0,-0.0982,-0.0589,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_UMAP,-0.1739,0.0,-0.1935,-0.1542,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_PCA,-0.1149,0.0,-0.1345,-0.0952,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_PaCMAP,-0.2873,0.0,-0.3069,-0.2676,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_UMAP,-0.2714,0.0,-0.2911,-0.2518,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_PCA,-0.1651,0.0,-0.1848,-0.1454,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_PaCMAP,-0.1869,0.0,-0.2066,-0.1673,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_UMAP,-0.1776,0.0,-0.1973,-0.158,True
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0775,0.0,-0.0971,-0.0578,True
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.5528,0.0,-0.5724,-0.5331,True
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.5591,0.0,-0.5788,-0.5395,True
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_PCA,-0.0081,0.9938,-0.0278,0.0115,False
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_PaCMAP,-0.234,0.0,-0.2536,-0.2143,True
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_UMAP,-0.2313,0.0,-0.2509,-0.2116,True
allenai/longformer-base-4096_UMAP,google/bigbird-roberta-base_PCA,0.0504,0.0,0.0308,0.0701,True
