group1,group2,meandiff,p-adj,lower,upper,reject
body_only_PCA,body_only_PaCMAP,-0.1737,0.0,-0.2945,-0.053,True
body_only_PCA,body_only_UMAP,-0.1762,0.0,-0.297,-0.0555,True
body_only_PCA,from_body_PCA,0.0087,1.0,-0.1121,0.1294,False
body_only_PCA,from_body_PaCMAP,-0.1752,0.0,-0.296,-0.0545,True
body_only_PCA,from_body_UMAP,-0.1898,0.0,-0.3106,-0.0691,True
body_only_PCA,from_newsgroup_body_PCA,0.019,1.0,-0.1017,0.1398,False
body_only_PCA,from_newsgroup_body_PaCMAP,-0.1506,0.0007,-0.2714,-0.0299,True
body_only_PCA,from_newsgroup_body_UMAP,-0.1654,0.0001,-0.2862,-0.0447,True
body_only_PCA,from_organization_body_PCA,0.0057,1.0,-0.115,0.1265,False
body_only_PCA,from_organization_body_PaCMAP,-0.1839,0.0,-0.3047,-0.0632,True
body_only_PCA,from_organization_body_UMAP,-0.1919,0.0,-0.3126,-0.0711,True
body_only_PCA,from_organization_newsgroup_body_PCA,0.0074,1.0,-0.1134,0.1282,False
body_only_PCA,from_organization_newsgroup_body_PaCMAP,-0.1644,0.0001,-0.2851,-0.0436,True
body_only_PCA,from_organization_newsgroup_body_UMAP,-0.1727,0.0,-0.2935,-0.052,True
body_only_PCA,newsgroup_body_PCA,0.0277,1.0,-0.0931,0.1484,False
body_only_PCA,newsgroup_body_PaCMAP,-0.1601,0.0002,-0.2808,-0.0393,True
body_only_PCA,newsgroup_body_UMAP,-0.1746,0.0,-0.2954,-0.0539,True
body_only_PCA,organization_body_PCA,0.0099,1.0,-0.1108,0.1307,False
body_only_PCA,organization_body_PaCMAP,-0.2195,0.0,-0.3403,-0.0987,True
body_only_PCA,organization_body_UMAP,-0.2318,0.0,-0.3526,-0.1111,True
body_only_PCA,organization_newsgroup_body_PCA,0.0215,1.0,-0.0993,0.1422,False
body_only_PCA,organization_newsgroup_body_PaCMAP,-0.1743,0.0,-0.2951,-0.0535,True
body_only_PCA,organization_newsgroup_body_UMAP,-0.1921,0.0,-0.3128,-0.0713,True
body_only_PCA,subject_body_PCA,0.0049,1.0,-0.1158,0.1257,False
body_only_PCA,subject_body_PaCMAP,-0.1921,0.0,-0.3128,-0.0713,True
body_only_PCA,subject_body_UMAP,-0.2065,0.0,-0.3272,-0.0857,True
body_only_PCA,subject_from_body_PCA,0.0034,1.0,-0.1174,0.1242,False
body_only_PCA,subject_from_body_PaCMAP,-0.1726,0.0,-0.2933,-0.0518,True
body_only_PCA,subject_from_body_UMAP,-0.176,0.0,-0.2968,-0.0553,True
body_only_PCA,subject_from_newsgroup_body_PCA,0.0101,1.0,-0.1106,0.1309,False
body_only_PCA,subject_from_newsgroup_body_PaCMAP,-0.1561,0.0003,-0.2768,-0.0353,True
body_only_PCA,subject_from_newsgroup_body_UMAP,-0.1735,0.0,-0.2942,-0.0527,True
body_only_PCA,subject_from_organization_body_PCA,-0.001,1.0,-0.1217,0.1198,False
body_only_PCA,subject_from_organization_body_PaCMAP,-0.1748,0.0,-0.2956,-0.0541,True
body_only_PCA,subject_from_organization_body_UMAP,-0.1737,0.0,-0.2945,-0.053,True
body_only_PCA,subject_from_organization_newsgroup_body_PCA,0.0049,1.0,-0.1159,0.1256,False
body_only_PCA,subject_from_organization_newsgroup_body_PaCMAP,-0.158,0.0002,-0.2787,-0.0372,True
body_only_PCA,subject_from_organization_newsgroup_body_UMAP,-0.1729,0.0,-0.2937,-0.0522,True
body_only_PCA,subject_newsgroup_body_PCA,0.0195,1.0,-0.1012,0.1403,False
body_only_PCA,subject_newsgroup_body_PaCMAP,-0.1688,0.0,-0.2895,-0.048,True
body_only_PCA,subject_newsgroup_body_UMAP,-0.1897,0.0,-0.3105,-0.069,True
body_only_PCA,subject_organization_body_PCA,0.0034,1.0,-0.1174,0.1241,False
body_only_PCA,subject_organization_body_PaCMAP,-0.1958,0.0,-0.3165,-0.075,True
body_only_PCA,subject_organization_body_UMAP,-0.1994,0.0,-0.3201,-0.0786,True
body_only_PCA,subject_organization_newsgroup_body_PCA,0.0132,1.0,-0.1075,0.134,False
body_only_PCA,subject_organization_newsgroup_body_PaCMAP,-0.1714,0.0,-0.2922,-0.0506,True
body_only_PCA,subject_organization_newsgroup_body_UMAP,-0.1906,0.0,-0.3114,-0.0698,True
body_only_PaCMAP,body_only_UMAP,-0.0025,1.0,-0.1233,0.1182,False
body_only_PaCMAP,from_body_PCA,0.1824,0.0,0.0617,0.3032,True
body_only_PaCMAP,from_body_PaCMAP,-0.0015,1.0,-0.1223,0.1192,False
body_only_PaCMAP,from_body_UMAP,-0.0161,1.0,-0.1368,0.1047,False
body_only_PaCMAP,from_newsgroup_body_PCA,0.1927,0.0,0.072,0.3135,True
body_only_PaCMAP,from_newsgroup_body_PaCMAP,0.0231,1.0,-0.0977,0.1438,False
body_only_PaCMAP,from_newsgroup_body_UMAP,0.0083,1.0,-0.1125,0.129,False
body_only_PaCMAP,from_organization_body_PCA,0.1795,0.0,0.0587,0.3002,True
body_only_PaCMAP,from_organization_body_PaCMAP,-0.0102,1.0,-0.131,0.1105,False
body_only_PaCMAP,from_organization_body_UMAP,-0.0182,1.0,-0.1389,0.1026,False
body_only_PaCMAP,from_organization_newsgroup_body_PCA,0.1811,0.0,0.0604,0.3019,True
body_only_PaCMAP,from_organization_newsgroup_body_PaCMAP,0.0093,1.0,-0.1114,0.1301,False
