group1,group2,meandiff,p-adj,lower,upper,reject
body_only,from_body,-0.0021,1.0,-0.0711,0.0668,False
body_only,from_newsgroup_body,0.0176,1.0,-0.0513,0.0866,False
body_only,from_organization_body,-0.0067,1.0,-0.0757,0.0622,False
body_only,from_organization_newsgroup_body,0.0067,1.0,-0.0622,0.0757,False
body_only,newsgroup_body,0.0143,1.0,-0.0546,0.0833,False
body_only,organization_body,-0.0305,0.9808,-0.0994,0.0385,False
body_only,organization_newsgroup_body,0.0017,1.0,-0.0673,0.0706,False
body_only,subject_body,-0.0146,1.0,-0.0835,0.0544,False
body_only,subject_from_body,0.0016,1.0,-0.0674,0.0705,False
body_only,subject_from_newsgroup_body,0.0102,1.0,-0.0588,0.0791,False
body_only,subject_from_organization_body,0.0001,1.0,-0.0688,0.0691,False
body_only,subject_from_organization_newsgroup_body,0.008,1.0,-0.061,0.0769,False
body_only,subject_newsgroup_body,0.0037,1.0,-0.0653,0.0726,False
body_only,subject_organization_body,-0.0139,1.0,-0.0829,0.055,False
body_only,subject_organization_newsgroup_body,0.0004,1.0,-0.0686,0.0693,False
from_body,from_newsgroup_body,0.0198,0.9998,-0.0492,0.0887,False
from_body,from_organization_body,-0.0046,1.0,-0.0735,0.0644,False
from_body,from_organization_newsgroup_body,0.0089,1.0,-0.0601,0.0778,False
from_body,newsgroup_body,0.0164,1.0,-0.0525,0.0854,False
from_body,organization_body,-0.0283,0.9906,-0.0973,0.0406,False
from_body,organization_newsgroup_body,0.0038,1.0,-0.0651,0.0728,False
from_body,subject_body,-0.0124,1.0,-0.0814,0.0565,False
from_body,subject_from_body,0.0037,1.0,-0.0652,0.0727,False
from_body,subject_from_newsgroup_body,0.0123,1.0,-0.0566,0.0813,False
from_body,subject_from_organization_body,0.0023,1.0,-0.0667,0.0712,False
from_body,subject_from_organization_newsgroup_body,0.0101,1.0,-0.0588,0.0791,False
from_body,subject_newsgroup_body,0.0058,1.0,-0.0632,0.0747,False
from_body,subject_organization_body,-0.0118,1.0,-0.0808,0.0571,False
from_body,subject_organization_newsgroup_body,0.0025,1.0,-0.0664,0.0715,False
from_newsgroup_body,from_organization_body,-0.0243,0.9981,-0.0933,0.0446,False
from_newsgroup_body,from_organization_newsgroup_body,-0.0109,1.0,-0.0798,0.0581,False
from_newsgroup_body,newsgroup_body,-0.0033,1.0,-0.0723,0.0656,False
from_newsgroup_body,organization_body,-0.0481,0.5531,-0.1171,0.0208,False
from_newsgroup_body,organization_newsgroup_body,-0.016,1.0,-0.0849,0.053,False
from_newsgroup_body,subject_body,-0.0322,0.9683,-0.1011,0.0368,False
from_newsgroup_body,subject_from_body,-0.0161,1.0,-0.085,0.0529,False
from_newsgroup_body,subject_from_newsgroup_body,-0.0075,1.0,-0.0764,0.0615,False
from_newsgroup_body,subject_from_organization_body,-0.0175,1.0,-0.0864,0.0515,False
from_newsgroup_body,subject_from_organization_newsgroup_body,-0.0097,1.0,-0.0786,0.0593,False
from_newsgroup_body,subject_newsgroup_body,-0.014,1.0,-0.0829,0.055,False
from_newsgroup_body,subject_organization_body,-0.0316,0.9734,-0.1005,0.0374,False
from_newsgroup_body,subject_organization_newsgroup_body,-0.0172,1.0,-0.0862,0.0517,False
from_organization_body,from_organization_newsgroup_body,0.0134,1.0,-0.0555,0.0824,False
from_organization_body,newsgroup_body,0.021,0.9997,-0.0479,0.09,False
from_organization_body,organization_body,-0.0238,0.9986,-0.0927,0.0452,False
from_organization_body,organization_newsgroup_body,0.0084,1.0,-0.0606,0.0773,False
from_organization_body,subject_body,-0.0079,1.0,-0.0768,0.0611,False
from_organization_body,subject_from_body,0.0083,1.0,-0.0607,0.0772,False
from_organization_body,subject_from_newsgroup_body,0.0169,1.0,-0.0521,0.0858,False
from_organization_body,subject_from_organization_body,0.0068,1.0,-0.0621,0.0758,False
from_organization_body,subject_from_organization_newsgroup_body,0.0147,1.0,-0.0543,0.0836,False
from_organization_body,subject_newsgroup_body,0.0104,1.0,-0.0586,0.0793,False
from_organization_body,subject_organization_body,-0.0072,1.0,-0.0762,0.0617,False
from_organization_body,subject_organization_newsgroup_body,0.0071,1.0,-0.0619,0.076,False
from_organization_newsgroup_body,newsgroup_body,0.0076,1.0,-0.0614,0.0765,False
from_organization_newsgroup_body,organization_body,-0.0372,0.8973,-0.1062,0.0317,False
from_organization_newsgroup_body,organization_newsgroup_body,-0.0051,1.0,-0.074,0.0639,False
from_organization_newsgroup_body,subject_body,-0.0213,0.9996,-0.0903,0.0476,False
from_organization_newsgroup_body,subject_from_body,-0.0052,1.0,-0.0741,0.0638,False
from_organization_newsgroup_body,subject_from_newsgroup_body,0.0034,1.0,-0.0655,0.0724,False
from_organization_newsgroup_body,subject_from_organization_body,-0.0066,1.0,-0.0755,0.0624,False
from_organization_newsgroup_body,subject_from_organization_newsgroup_body,0.0012,1.0,-0.0677,0.0702,False
from_organization_newsgroup_body,subject_newsgroup_body,-0.0031,1.0,-0.072,0.0659,False
from_organization_newsgroup_body,subject_organization_body,-0.0207,0.9997,-0.0896,0.0483,False
from_organization_newsgroup_body,subject_organization_newsgroup_body,-0.0064,1.0,-0.0753,0.0626,False
newsgroup_body,organization_body,-0.0448,0.6775,-0.1137,0.0242,False
newsgroup_body,organization_newsgroup_body,-0.0126,1.0,-0.0816,0.0563,False
newsgroup_body,subject_body,-0.0289,0.9886,-0.0978,0.0401,False
newsgroup_body,subject_from_body,-0.0127,1.0,-0.0817,0.0562,False
newsgroup_body,subject_from_newsgroup_body,-0.0041,1.0,-0.0731,0.0648,False
newsgroup_body,subject_from_organization_body,-0.0142,1.0,-0.0831,0.0548,False
newsgroup_body,subject_from_organization_newsgroup_body,-0.0063,1.0,-0.0753,0.0626,False
newsgroup_body,subject_newsgroup_body,-0.0106,1.0,-0.0796,0.0583,False
newsgroup_body,subject_organization_body,-0.0283,0.9909,-0.0972,0.0407,False
newsgroup_body,subject_organization_newsgroup_body,-0.0139,1.0,-0.0829,0.055,False
organization_body,organization_newsgroup_body,0.0322,0.9687,-0.0368,0.1011,False
organization_body,subject_body,0.0159,1.0,-0.053,0.0849,False
organization_body,subject_from_body,0.0321,0.9696,-0.0369,0.101,False
organization_body,subject_from_newsgroup_body,0.0407,0.8131,-0.0283,0.1096,False
organization_body,subject_from_organization_body,0.0306,0.98,-0.0383,0.0996,False
organization_body,subject_from_organization_newsgroup_body,0.0385,0.8703,-0.0305,0.1074,False
