group1,group2,meandiff,p-adj,lower,upper,reject
PCA_10,PCA_5,-0.051,0.0,-0.0782,-0.0237,True
PCA_10,PCA_50,0.0672,0.0,0.0399,0.0944,True
PCA_10,PaCMAP_10,-0.1643,0.0,-0.1916,-0.1371,True
PCA_10,PaCMAP_5,-0.1666,0.0,-0.1938,-0.1394,True
PCA_10,PaCMAP_50,-0.1636,0.0,-0.1908,-0.1363,True
PCA_10,UMAP_10,-0.18,0.0,-0.2072,-0.1527,True
PCA_10,UMAP_5,-0.1837,0.0,-0.211,-0.1565,True
PCA_10,UMAP_50,-0.1825,0.0,-0.2097,-0.1553,True
PCA_5,PCA_50,0.1181,0.0,0.0909,0.1454,True
PCA_5,PaCMAP_10,-0.1133,0.0,-0.1406,-0.0861,True
PCA_5,PaCMAP_5,-0.1156,0.0,-0.1429,-0.0884,True
PCA_5,PaCMAP_50,-0.1126,0.0,-0.1398,-0.0854,True
PCA_5,UMAP_10,-0.129,0.0,-0.1562,-0.1018,True
PCA_5,UMAP_5,-0.1328,0.0,-0.16,-0.1055,True
PCA_5,UMAP_50,-0.1315,0.0,-0.1588,-0.1043,True
PCA_50,PaCMAP_10,-0.2315,0.0,-0.2587,-0.2042,True
PCA_50,PaCMAP_5,-0.2338,0.0,-0.261,-0.2065,True
PCA_50,PaCMAP_50,-0.2307,0.0,-0.258,-0.2035,True
PCA_50,UMAP_10,-0.2471,0.0,-0.2744,-0.2199,True
PCA_50,UMAP_5,-0.2509,0.0,-0.2781,-0.2237,True
PCA_50,UMAP_50,-0.2497,0.0,-0.2769,-0.2224,True
PaCMAP_10,PaCMAP_5,-0.0023,1.0,-0.0295,0.0249,False
PaCMAP_10,PaCMAP_50,0.0007,1.0,-0.0265,0.028,False
PaCMAP_10,UMAP_10,-0.0157,0.693,-0.0429,0.0116,False
PaCMAP_10,UMAP_5,-0.0194,0.3961,-0.0467,0.0078,False
PaCMAP_10,UMAP_50,-0.0182,0.4927,-0.0454,0.0091,False
PaCMAP_5,PaCMAP_50,0.003,1.0,-0.0242,0.0303,False
PaCMAP_5,UMAP_10,-0.0134,0.8453,-0.0406,0.0139,False
PaCMAP_5,UMAP_5,-0.0171,0.5764,-0.0444,0.0101,False
PaCMAP_5,UMAP_50,-0.0159,0.6752,-0.0431,0.0114,False
PaCMAP_50,UMAP_10,-0.0164,0.636,-0.0436,0.0108,False
PaCMAP_50,UMAP_5,-0.0202,0.3429,-0.0474,0.0071,False
PaCMAP_50,UMAP_50,-0.0189,0.4349,-0.0462,0.0083,False
UMAP_10,UMAP_5,-0.0038,1.0,-0.031,0.0235,False
UMAP_10,UMAP_50,-0.0025,1.0,-0.0298,0.0247,False
UMAP_5,UMAP_50,0.0013,1.0,-0.026,0.0285,False
