group1,group2,meandiff,p-adj,lower,upper,reject
age_comment,cah_age_comment,-0.0049,1.0,-0.057,0.0473,False
age_comment,cah_comment,-0.0233,0.9784,-0.0755,0.0288,False
age_comment,comment_only,-0.0046,1.0,-0.0567,0.0476,False
age_comment,institution_age_comment,0.0356,0.5947,-0.0166,0.0877,False
age_comment,institution_cah_age_comment,0.0268,0.9291,-0.0253,0.0789,False
age_comment,institution_cah_comment,-0.0009,1.0,-0.0531,0.0512,False
age_comment,institution_comment,0.0018,1.0,-0.0504,0.0539,False
age_comment,question_age_comment,-0.0298,0.8479,-0.0819,0.0224,False
age_comment,question_cah_age_comment,-0.0171,0.9992,-0.0693,0.035,False
age_comment,question_cah_comment,-0.0111,1.0,-0.0633,0.041,False
age_comment,question_comment,-0.0215,0.9902,-0.0737,0.0306,False
age_comment,question_institution_age_comment,0.0368,0.5306,-0.0153,0.089,False
age_comment,question_institution_cah_age_comment,0.0033,1.0,-0.0488,0.0554,False
age_comment,question_institution_cah_comment,-0.0109,1.0,-0.0631,0.0412,False
age_comment,question_institution_comment,0.0143,0.9999,-0.0378,0.0665,False
cah_age_comment,cah_comment,-0.0185,0.9981,-0.0706,0.0337,False
cah_age_comment,comment_only,0.0003,1.0,-0.0519,0.0524,False
cah_age_comment,institution_age_comment,0.0404,0.3586,-0.0117,0.0926,False
cah_age_comment,institution_cah_age_comment,0.0317,0.7765,-0.0205,0.0838,False
cah_age_comment,institution_cah_comment,0.0039,1.0,-0.0482,0.0561,False
cah_age_comment,institution_comment,0.0066,1.0,-0.0455,0.0588,False
cah_age_comment,question_age_comment,-0.0249,0.9613,-0.0771,0.0272,False
cah_age_comment,question_cah_age_comment,-0.0123,1.0,-0.0644,0.0399,False
cah_age_comment,question_cah_comment,-0.0063,1.0,-0.0584,0.0459,False
cah_age_comment,question_comment,-0.0167,0.9994,-0.0688,0.0355,False
cah_age_comment,question_institution_age_comment,0.0417,0.3041,-0.0105,0.0938,False
cah_age_comment,question_institution_cah_age_comment,0.0082,1.0,-0.044,0.0603,False
cah_age_comment,question_institution_cah_comment,-0.0061,1.0,-0.0582,0.0461,False
cah_age_comment,question_institution_comment,0.0192,0.9971,-0.033,0.0713,False
cah_comment,comment_only,0.0188,0.9977,-0.0334,0.0709,False
cah_comment,institution_age_comment,0.0589,0.0106,0.0068,0.111,True
cah_comment,institution_cah_age_comment,0.0501,0.0749,-0.002,0.1023,False
cah_comment,institution_cah_comment,0.0224,0.9854,-0.0297,0.0745,False
cah_comment,institution_comment,0.0251,0.9584,-0.027,0.0773,False
cah_comment,question_age_comment,-0.0064,1.0,-0.0586,0.0457,False
cah_comment,question_cah_age_comment,0.0062,1.0,-0.0459,0.0584,False
cah_comment,question_cah_comment,0.0122,1.0,-0.0399,0.0644,False
cah_comment,question_comment,0.0018,1.0,-0.0503,0.054,False
cah_comment,question_institution_age_comment,0.0602,0.0077,0.008,0.1123,True
cah_comment,question_institution_cah_age_comment,0.0266,0.9323,-0.0255,0.0788,False
cah_comment,question_institution_cah_comment,0.0124,1.0,-0.0397,0.0646,False
cah_comment,question_institution_comment,0.0377,0.4897,-0.0145,0.0898,False
comment_only,institution_age_comment,0.0401,0.3708,-0.012,0.0923,False
comment_only,institution_cah_age_comment,0.0314,0.7877,-0.0208,0.0835,False
comment_only,institution_cah_comment,0.0036,1.0,-0.0485,0.0558,False
comment_only,institution_comment,0.0064,1.0,-0.0458,0.0585,False
comment_only,question_age_comment,-0.0252,0.9575,-0.0773,0.027,False
comment_only,question_cah_age_comment,-0.0125,1.0,-0.0647,0.0396,False
comment_only,question_cah_comment,-0.0065,1.0,-0.0587,0.0456,False
comment_only,question_comment,-0.0169,0.9993,-0.0691,0.0352,False
comment_only,question_institution_age_comment,0.0414,0.3154,-0.0107,0.0936,False
comment_only,question_institution_cah_age_comment,0.0079,1.0,-0.0443,0.06,False
comment_only,question_institution_cah_comment,-0.0063,1.0,-0.0585,0.0458,False
comment_only,question_institution_comment,0.0189,0.9975,-0.0333,0.071,False
institution_age_comment,institution_cah_age_comment,-0.0088,1.0,-0.0609,0.0434,False
institution_age_comment,institution_cah_comment,-0.0365,0.5471,-0.0887,0.0156,False
institution_age_comment,institution_comment,-0.0338,0.6818,-0.0859,0.0184,False
institution_age_comment,question_age_comment,-0.0653,0.0019,-0.1175,-0.0132,True
institution_age_comment,question_cah_age_comment,-0.0527,0.0446,-0.1048,-0.0005,True
institution_age_comment,question_cah_comment,-0.0467,0.142,-0.0988,0.0055,False
institution_age_comment,question_comment,-0.0571,0.0166,-0.1092,-0.0049,True
institution_age_comment,question_institution_age_comment,0.0013,1.0,-0.0509,0.0534,False
institution_age_comment,question_institution_cah_age_comment,-0.0323,0.7515,-0.0844,0.0199,False
institution_age_comment,question_institution_cah_comment,-0.0465,0.1463,-0.0986,0.0057,False
institution_age_comment,question_institution_comment,-0.0213,0.9914,-0.0734,0.0309,False
institution_cah_age_comment,institution_cah_comment,-0.0278,0.9075,-0.0799,0.0244,False
institution_cah_age_comment,institution_comment,-0.025,0.9598,-0.0772,0.0271,False
institution_cah_age_comment,question_age_comment,-0.0566,0.0187,-0.1087,-0.0044,True
institution_cah_age_comment,question_cah_age_comment,-0.0439,0.2208,-0.0961,0.0082,False
institution_cah_age_comment,question_cah_comment,-0.0379,0.4768,-0.0901,0.0142,False
institution_cah_age_comment,question_comment,-0.0483,0.106,-0.1005,0.0038,False
institution_cah_age_comment,question_institution_age_comment,0.01,1.0,-0.0421,0.0622,False
institution_cah_age_comment,question_institution_cah_age_comment,-0.0235,0.9771,-0.0756,0.0286,False
institution_cah_age_comment,question_institution_cah_comment,-0.0377,0.4854,-0.0899,0.0144,False
institution_cah_age_comment,question_institution_comment,-0.0125,1.0,-0.0646,0.0396,False
institution_cah_comment,institution_comment,0.0027,1.0,-0.0494,0.0549,False
institution_cah_comment,question_age_comment,-0.0288,0.8781,-0.081,0.0233,False
institution_cah_comment,question_cah_age_comment,-0.0162,0.9996,-0.0683,0.036,False
institution_cah_comment,question_cah_comment,-0.0102,1.0,-0.0623,0.042,False
institution_cah_comment,question_comment,-0.0206,0.9938,-0.0727,0.0316,False
institution_cah_comment,question_institution_age_comment,0.0378,0.4833,-0.0144,0.0899,False
institution_cah_comment,question_institution_cah_age_comment,0.0043,1.0,-0.0479,0.0564,False
institution_cah_comment,question_institution_cah_comment,-0.01,1.0,-0.0621,0.0422,False
institution_cah_comment,question_institution_comment,0.0153,0.9998,-0.0369,0.0674,False
institution_comment,question_age_comment,-0.0316,0.7811,-0.0837,0.0206,False
institution_comment,question_cah_age_comment,-0.0189,0.9975,-0.0711,0.0332,False
institution_comment,question_cah_comment,-0.0129,1.0,-0.065,0.0393,False
institution_comment,question_comment,-0.0233,0.9789,-0.0754,0.0289,False
institution_comment,question_institution_age_comment,0.0351,0.6197,-0.0171,0.0872,False
institution_comment,question_institution_cah_age_comment,0.0015,1.0,-0.0506,0.0537,False
institution_comment,question_institution_cah_comment,-0.0127,1.0,-0.0649,0.0394,False
