dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
20NG,body_only,allenai/longformer-base-4096,1024,PaCMAP,30,2,0.5,5,0.9751,0.969,0.9656,0.9845,0.9785,0.9752,0.7976,0.8685,0.97465,0.8331,3.26777929,0.02005056,3.24772873,1.80214559067796,0.9011
20NG,body_only,allenai/longformer-base-4096,1024,PaCMAP,30,2,0.5,10,0.9751,0.969,0.9656,0.9845,0.9785,0.9752,0.7976,0.8684,0.97465,0.8330,3.2675985225,0.0200647225,3.2475338,1.80209150711056,0.901
20NG,body_only,allenai/longformer-base-4096,1024,PaCMAP,30,2,0.5,50,0.9751,0.969,0.9655,0.9845,0.9785,0.9752,0.7976,0.8684,0.974633333333333,0.8330,3.26753826777778,0.020060001111111,3.24747826666667,1.80207609902209,0.901
20NG,body_only,allenai/longformer-base-4096,1024,PCA,N/A,N/A,N/A,5,0.9784,0.9766,0.9757,0.9925,0.9896,0.9882,0.974,0.9719,0.9835,0.97295,3.8276966025,0.0001113025,3.8275853,1.95642155477801,0.9782
20NG,body_only,allenai/longformer-base-4096,1024,PCA,N/A,N/A,N/A,10,0.9948,0.9932,0.9924,0.9976,0.9963,0.9957,0.9869,0.986,0.9950,0.98645,3.9261441025,0.0000731025,3.926071,1.98143155319582,0.9907
20NG,body_only,allenai/longformer-base-4096,1024,PCA,N/A,N/A,N/A,50,0.9997,0.9995,0.9993,0.9998,0.9997,0.9995,0.9968,0.9963,0.9996,0.9966,3.9845,0.0000,3.9845,1.99613102859841,0.9981
20NG,body_only,allenai/longformer-base-4096,1024,UMAP,30,N/A,N/A,5,0.9816,0.9741,0.9696,0.987,0.9774,0.9721,0.773,0.8679,0.976966666666667,0.82045,3.23070667361111,0.0244974669444445,3.20620920666667,1.79058906694603,0.8953
20NG,body_only,allenai/longformer-base-4096,1024,UMAP,30,N/A,N/A,10,0.9823,0.9744,0.97,0.987,0.9776,0.9723,0.773,0.8676,0.977266666666667,0.8203,3.23124592111111,0.0246385344444446,3.20660738666667,1.79070025036762,0.8954
20NG,body_only,allenai/longformer-base-4096,1024,UMAP,30,N/A,N/A,50,0.9822,0.9745,0.97,0.987,0.9776,0.9722,0.7753,0.8666,0.97725,0.8210,3.23352324,0.02442969,3.20909355,1.79139430332911,0.8957
20NG,body_only,allenai/longformer-base-4096,2048,PaCMAP,30,2,0.5,5,0.9749,0.9689,0.9653,0.9838,0.9777,0.9743,0.7952,0.8653,0.9742,0.8303,3.2559,0.0207,3.2352,1.79865287090089,0.8993
